player_id,full_name,regular_games,playoff_games,regular_baseline_elo,playoff_baseline_elo,regular_total_delta,playoff_total_delta,regular_mean_delta,playoff_mean_delta,regular_median_delta,playoff_median_delta,regular_change_rate,playoff_change_rate,playoff_minus_regular,quadrant
2749,Jameer Nelson,878.0,44.0,1652.7680248311071,1735.2493411516796,-119.94479241098958,141.86414695017007,-0.13661138087812025,3.2241851579584107,-1.0333212061690134,3.079051139131254,-8.265611315422216e-05,0.001858052950372267,0.001940709063526489,Q2
2420,Nenad Krstic,417.0,28.0,1556.8766583955346,1643.4198639652307,9.622557879495002,88.37847645478594,0.02307567836809353,3.156374159099498,-1.1604425448953992,-0.6086067599464201,1.4821776820698537e-05,0.0019206133674713065,0.0019057915906506078,Q1
203493,Reggie Bullock,550.0,26.0,1501.089413024033,1565.7585780822478,-82.21050739700281,72.2764360722471,-0.1494736498127324,2.7798629258556575,-1.0335548459915107,3.0118128389751613,-9.957677971467997e-05,0.0017754096734762606,0.0018749864531909406,Q2
203110,Draymond Green,947.0,175.0,1641.396498851942,1736.1357024598549,-404.92557289007965,490.27750046141426,-0.42758772216481483,2.801585716922367,-1.0397994918096107,1.8903304349649817,-0.00026050239686991336,0.0016136905156393722,0.0018741929125092856,Q2
77141,Dennis Johnson,1085.0,179.0,1684.7464884190424,1687.9731830493215,-482.75499393685425,481.32412661802977,-0.444935478282815,2.6889616012180433,-1.0517416919088791,2.566477373992249,-0.00026409639749440297,0.0015930120384735245,0.0018571084359679275,Q2
76471,Charlie Criss,405.0,25.0,1480.83258008115,1467.27917401369,-32.69271807902173,65.74961732910214,-0.08072276068894255,2.6299846931640856,-1.4307408254945524,1.3768217693636695,-5.451174006754965e-05,0.0017924228325069565,0.0018469345725745062,Q2
76873,Mike Green,245.0,20.0,1360.4554237107914,1356.628093871945,-68.99983827128541,44.37708233705944,-0.2816319929440221,2.218854116852972,-1.3058623368785505,-1.6130092690189088,-0.0002070130252234505,0.0016355655075077742,0.0018425785327312247,Q2
1630529,Herbert Jones,296.0,15.0,1599.1713627785787,1604.5438193814643,37.966089123224194,45.87139002842672,0.12826381460548714,3.0580926685617813,-0.9557302366265388,5.685218245117994,8.020642289555966e-05,0.0019058953900932699,0.0018256889671977102,Q1
36,Sarunas Marciulionis,362.0,17.0,1598.7768067458817,1590.3136510538843,38.723403170399,51.12715957952692,0.1069707269900525,3.007479975266289,-1.5411159954493163,4.580900540687023,6.690785514194353e-05,0.0018911237876083522,0.0018242159324664087,Q1
677,Eric Williams,658.0,26.0,1523.7088298689082,1536.5676940600795,-76.02012312986832,69.27009540948636,-0.11553210202107649,2.6642344388263983,-1.3472191846050179,2.5722385435752635,-7.582295236224119e-05,0.0017338867979103999,0.0018097097502726412,Q2
76734,Don Ford,398.0,20.0,1295.4108445730208,1350.8923885634026,-65.27287141992016,44.377459565178704,-0.16400218949728684,2.2188729782589354,-1.109939715555122,-3.164926409974221,-0.00012660245217519656,0.0016425238583352897,0.0017691263105104862,Q2
1498,Antonio Daniels,865.0,79.0,1584.2207899850428,1609.105648450543,-154.93377930690556,208.7548954268612,-0.17911419573052667,2.642467030719762,-1.1713425130696649,-0.4767878331568312,-0.00011306138441234429,0.0016421961064298509,0.001755257490842195,Q2
1501,Tim Thomas,823.0,55.0,1586.050682127607,1606.4945173220342,-92.36421071741583,146.79944731901355,-0.11222868859953321,2.669080860345701,-1.2243821943525264,1.5970482334418046,-7.075983754124685e-05,0.0016614316647622042,0.0017321915023034511,Q2
202704,Reggie Jackson,883.0,87.0,1646.924750463917,1617.305847979123,-195.29069190622803,224.81955440439847,-0.221167261501957,2.5841328092459595,-0.9914688635254394,-0.452609305599372,-0.00013429105454858037,0.0015978009431394306,0.001732091997688011,Q2
1630183,Jaden McDaniels,438.0,50.0,1565.0228122281437,1687.5572956695983,126.98654158289,159.59258053918555,0.2899236109198402,3.191851610783711,-0.919213336197397,0.15606987983080223,0.0001852520031366649,0.001891403402405505,0.0017061513992688401,Q1
109,Robert Horry,1107.0,242.0,1592.6160811399234,1597.6379896383369,-508.3096734728294,541.9016531755871,-0.459177663480424,2.239263029651186,-1.341992431293106,0.14177655143468834,-0.00028831660619159713,0.0014016085271971383,0.0016899251333887355,Q2
697,Fred Hoiberg,536.0,23.0,1472.2115880886363,1492.9152042454143,31.18174188211343,58.80265683250681,0.05817489157110714,2.556637253587253,-0.9854280886639367,1.2463916771335417,3.9515306116178084e-05,0.0017125133740462446,0.0016729980679300665,Q1
77092,Marc Iavaroni,505.0,43.0,1346.9182001599886,1342.9009528111476,-199.3309457257728,78.55866082124147,-0.3947147440114313,1.8269456004939877,-0.6737019383383351,-0.0780126468958108,-0.0002930502713264596,0.0013604470208093682,0.0016534972921358278,Q2
76248,Jim Brewer,457.0,18.0,1292.4749663104876,1268.0204078826755,-52.76965490946301,35.43885632696624,-0.11546970439707441,1.9688253514981244,-0.7808275417603816,-0.4959283097621147,-8.933999296457975e-05,0.0015526763916880835,0.0016420163846526633,Q2
358,Anfernee Hardaway,704.0,64.0,1855.1126032842133,1900.8831190091244,-119.34333286738811,187.3561864735572,-0.1695217796411763,2.927440413649331,-1.436499355386156,4.519519518038091,-9.13808570655291e-05,0.001540042301588391,0.00163142315865392,Q2
203086,Meyers Leonard,452.0,29.0,1442.6013768911198,1418.1755128060788,-87.82684785670037,61.19301785475752,-0.19430718552367338,2.1101040639571558,-0.7882666558879983,-0.9549905358988386,-0.0001346922224228119,0.0014879005066037205,0.0016225927290265322,Q2
77384,Reggie Lewis,450.0,42.0,1761.0417321717991,1777.105764375157,270.4755656892385,146.00227725333184,0.6010568126427522,3.476244696507901,-0.5908431323996708,1.346074772077304,0.0003413075350017406,0.001956127072566316,0.0016148195375645753,Q1
203613,Jonathon Simmons,256.0,25.0,1495.1778087951393,1483.892816541921,0.7609590515320201,59.196883736881475,0.0029724962950469537,2.367875349475259,-1.0799821195044652,0.9516980829104552,1.9880553854944406e-06,0.0015957185876762851,0.0015937305322907907,Q1
962,Walter McCarty,573.0,40.0,1424.7304328287,1409.4895359313741,-138.04402504859036,80.19292924623024,-0.24091452888061143,2.004823231155756,-1.0332568197617542,-1.293890781149329,-0.0001690948149414433,0.0014223753919755013,0.0015914702069169447,Q2
2205,DeSagana Diop,597.0,28.0,1355.1872568822705,1417.9813056614134,-188.96574707666275,53.78541088894963,-0.3165255394918974,1.920907531748201,-0.6558751338713757,1.6021809167257133,-0.00023356590602843528,0.0013546776139282026,0.001588243519956638,Q2
77633,Johnny Moore,492.0,41.0,1646.770549582771,1642.1115457729938,-82.18751666840768,99.25267763061571,-0.16704779810651968,2.420797015380871,-1.700298684717702,0.4876482873173362,-0.00010143963173791468,0.001474197670439815,0.0015756373021777296,Q2
1888,Richard Hamilton,920.0,130.0,1793.7636049040816,1820.234520124616,-221.1165012324347,337.83367057072894,-0.24034402307873337,2.598720542851761,-1.080484547606868,2.5661937958154226,-0.00013398868302469844,0.0014276844626998112,0.0015616731457245097,Q2
77786,Tom Owens,482.0,16.0,1499.137834333209,1569.3888105181395,-50.9134297126769,36.990414527702306,-0.10562952222547074,2.311900907981394,-1.2029583644089323,-3.2526723109203752,-7.046018038258167e-05,0.00147312182455163,0.0015435820049342118,Q2
78549,Gus Williams,734.0,88.0,1798.9934322242996,1774.6251284533105,-211.50846770673687,213.78856599471123,-0.28815867534977774,2.429415522667173,-1.2041897684664042,1.7546474205283313,-0.00016017772504788665,0.001368973922275377,0.0015291516473232636,Q2
1629018,Gary Trent Jr.,479.0,18.0,1591.2128419209514,1582.0224095998587,1.8776758347323015,43.46564111989295,0.0039199913042428005,2.414757839994053,-1.473501031051862,-1.5694909049913022,2.463524175377123e-06,0.0015263739788646976,0.0015239104546893203,Q1
